id,composition,Natom,Nelem,D,Nmag,CS,SG,E,M,MR,MSVL,dmean,dstd,ehull
mp-698587,Ti10 Ni10 O30,50,3,10.335007467337398,10,6,1,3.418,30.912,2.0,21.014418182946656,8.037319970651415,4.430849766615573,0.020012813999999324
mp-23456,Cr4 Bi4 O12,20,3,12.422084751378936,4,7,15,2.816,61.79600000000001,0.5,10.171532010272658,4.9772656863961675,2.080549943519544,0.022682788000000897
mp-10792,Dy12 B12 O36,60,3,10.04692347257144,0,6,2,3.3299999999999996,44.262,0.0,10.280323096612694,5.685524004584739,2.087414430067569,0.028402722833334337
mp-1346485,Mg4 Cr4 O12,20,3,9.679254333731919,4,2,62,2.682,24.862000000000002,2.0,7.370666,4.174232725255156,1.5123151738322993,0.12049696800000032
mp-18634,Cd6 S6 O18,30,3,15.05940989427262,0,5,148,2.362,38.494,0.5,9.60377015279739,5.450256510777729,1.9986217092106293,0.09906163908333099
mp-1101371,Sm4 Lu4 O12,20,3,14.091371948630012,0,2,62,2.874,74.67999999999999,0.0,8.299142,4.733039813749184,1.6395915276016828,0.039545404249999194
mp-1183539,Ca1 Ho1 O3,5,3,16.02740419757663,4,1,221,2.556,50.596000000000004,0.5,4.311328,2.849212716036377,0.4963708335402191,0.4413417948750009
mp-861502,Ac1 Fe1 O3,5,3,12.359462126517345,1,1,221,3.2660000000000005,66.17,0.5,3.953585088563453,3.2267383322048673,1.1450719550483084,0.0
mp-973930,Np1 Be1 O3,5,3,9.098122854992779,1,1,221,3.1700000000000004,58.802440000000004,0.5,3.569773,2.3591437777323656,0.4109942921437127,0.43241775099999913
mp-1184563,Hf1 Be1 O3,5,3,8.129700754549248,0,1,221,3.5120000000000005,47.10244,0.5,3.438335,2.2722807923667454,0.3958616022581694,0.7660095674999994
mp-1187736,U1 Ti1 O3,5,3,12.071272783279749,1,1,221,3.6399999999999997,66.774,0.5,3.922603,2.592317343417722,0.451616235358888,0.3075792819999794
mp-19051,La4 Co4 O12,20,3,11.112679978342912,0,5,167,3.332,49.166000000000004,0.5,7.622259443584992,4.280597359085817,1.4965685864426495,0.0033163850000006434
mp-22540,Ce1 Ga1 O3,5,3,17.19371195111022,4,1,221,2.986,51.564,0.0,4.413467,2.916712970622258,0.5081302776295957,0.8752421889000015
mp-972827,Si1 Bi1 O3,5,3,10.962846280912894,0,1,221,2.922,57.013999999999996,0.0,3.798666,2.510411518486888,0.4373471488972516,0.7190074119999856
mp-755525,Tm4 Ti4 O12,20,3,11.473097971360978,8,2,62,3.0140000000000002,52.95399999999999,0.5,7.650199,4.394493543078965,1.5482313594404626,0.06115532025002324
mp-1180705,Mn2 Ni2 O6,10,3,11.316751063504736,4,7,12,3.032,32.326,2.0,13.994077476741682,6.727518783382311,3.6046237509223267,0.25346269800000076
mp-1402304,Y1 W1 O3,5,3,13.818631975843008,2,1,221,4.214,64.14200000000001,0.0,4.103411,2.7118073132741345,0.47243298084212204,0.8033917662500034
mp-31119,Tb4 Sc4 O12,20,3,12.36221861405857,0,2,62,3.15,50.372,0.0,7.93211736,4.5055788261835135,1.6205252256015994,0.0006343188750008721
mp-550506,K1 Cl1 O3,5,3,17.82997188184398,0,5,160,2.0268,24.51,0.5,5.256606887148909,2.875508454201415,1.171410516737088,0.06199335787499827
mp-3474,La2 Cu2 O6,10,3,11.450128810538683,0,5,167,3.152,50.089999999999996,0.5,7.594198873865285,3.872887734555078,1.873942796208259,0.0
mp-1183971,Cs1 Ru1 O3,5,3,13.488013326577441,1,1,221,3.0688000000000004,56.4,0.0,4.070421,2.690005323840242,0.46863478367445294,0.3782630589999929
mp-1370790,V4 Cr4 O12,20,3,10.49143176900623,7,6,1,3.442,30.188,0.5,9.057977751758864,4.245660123660093,1.6234738637852697,1.563478856625002
mp-754701,Ca2 Ti2 O6,10,3,12.495341697913329,0,5,148,2.898,27.189999999999998,2.0,8.760529488982828,4.368158914980639,1.743989003816923,0.028352688500000056
mp-1210642,Mn4 Te4 O12,20,3,13.207173922999477,4,2,62,2.582,46.108,0.5,8.227003,4.612442714441444,1.665205018089064,0.23026673416665933
mp-1176501,Lu2 Bi2 O6,10,3,15.149129452302612,0,5,161,2.882,86.396,0.0,8.63409256496844,4.579088333909396,2.1805476432134894,0.027742273624999925
mp-768505,Lu6 Ga6 O18,30,3,11.64098803713507,0,3,185,3.008,58.544000000000004,0.0,11.574137250003249,5.535455867523398,2.3481736242215905,0.0
mp-984552,Be1 Zn1 O3,5,3,8.598364789056845,3,1,221,2.494,24.47844,2.0,3.503176,2.3151320441667744,0.40332686150487507,0.7659743274999986
mp-20073,Ti4 Fe4 O12,20,3,10.438578297864439,4,2,62,3.386,30.344,2.0,7.540401,4.324059759390302,1.5276556093139242,0.07182635300000051
mp-1186812,Pu1 Ti1 O3,5,3,12.024277945462117,1,1,221,3.25,67.974,0.5,3.917506,2.588948906311189,0.45102940871555336,0.08042102099999937
mp-691106,Mn2 Sn2 O6,10,3,12.304270445239977,2,5,161,2.7720000000000002,44.327999999999996,0.5,7.186127104582054,3.5101708566307637,1.213538753132113,0.022319597000001856
mp-608595,Na4 Br4 O12,20,3,21.572715780490732,8,7,4,2.0266,30.177999999999997,0.5,7.75008413141595,5.125613947877005,1.8051442398500006,0.4984734564999993
